index	1	2	3	4	5	6	7	8
bcHEDX	5.7677119954035945	157.13364632842757	0.0	487.27703167837774	152.4029274280259	0.0	42.348344851555645	0.0
bcIJRB	0.0	0.0	5.330229102161689	0.0	0.0	30.20558053568082	742.3072347668639	37.044922209087275
bcDJLC	0.0	262.7704123352581	3.2173637100847823	0.0	26.344307367671647	0.0	0.0	372.6354942919819
bcAKEL	0.0	1.3974016271746308	0.0	151.4447893740936	67.48290805456946	0.0	345.21028187142707	158.20986430578077
bcDNGQ	2.5837364437774166	0.0	0.0	0.0	0.0	0.0	0.0	629.2074758215265
bcEKYS	49.10771235620324	139.23616470606567	6.2139997779375244	119.94557722410822	334.9929147824278	15.698285530344895	125.82099161935568	0.0
bcDQRH	287.4593516231783	75.21405686425152	0.0	27.443770628796525	0.0	64.57740069714141	218.03479408053852	4.517059081154569
bcDSXK	35.783620893407026	0.0	0.0	671.5889067925675	0.0	126.61952521718266	43.02852184923949	0.0
bcGURC	20.777960268558832	92.64059581762888	0.0	4.949672455996713	39.93654113185207	330.92669031208163	137.0376534273481	0.0
bcHJJQ	0.0	0.5905180483362972	2.897492680089594	0.0	0.0	0.0	585.3011693018638	10.720707914775392
bcCXYO	37.31163714532214	0.0	0.0	638.7851333125532	107.93731927013641	76.53284782441649	70.16552353627448	5.879478369872302
bcHFEP	141.41655051883447	19.86043028604153	12.527460523578362	5.175520204787346	6.865195557714692	7.5993506800586506	394.30210555473263	0.0
bcGEOA	45.26204598564817	85.29537227145923	2.0776000688704537	68.0005609399693	79.65255560661795	30.076094655252792	258.38018181235464	26.17215010283277
bcIDAF	0.0	8.751266345854637	7.9710070297118305	0.0	0.0	0.0	632.6886937014696	0.0
bcGXPY	0.0	53.38171791931929	2.5770177067836633	925.6786470281496	0.0	1.391098029112583	0.0	0.0
bcEZTN	111.77721686105843	0.0	2.7383268983889	6.375002284285399	0.0	50.584079424883335	301.2341351027007	79.16211386434733
bcHRFB	5.79183627724927	0.0	1.1425180736414744	0.0	0.0	0.0	677.5611728896092	2.383594837001296
bcFDKS	0.0	167.90718398959865	1.8906097958738342	0.0	53.81313739196179	7.834625314169869	3.525740223023282	333.3321744656148
bcATJX	0.0	0.0	2.626779354096627	653.8052199442274	335.9556876407915	0.0	5.4700700810116505	0.0
bcGKJQ	0.0	0.0	0.0	0.0	0.0	383.06498774144046	216.38932097507433	36.75841260752865
bcGYNN	68.40827053004261	24.394001414668885	0.0	36.560970491183404	2.961604358970992	380.4933183061813	0.0	162.0564108240285
bcBLWG	0.0	0.0	1.7285598840770795	0.0	0.0	261.16541092269654	402.91803990291044	22.380003762041717
bcHMZW	13.970144174293038	0.0	0.0	0.0	0.0	0.0	0.0	352.84970492608176
bcDRIF	320.16372363119217	34.768449745724205	0.0	0.0	0.0	0.0	635.0877371004275	0.0
bcBUZZ	0.0	22.84683840124127	6.284092396768506	0.0	42.16301155105021	0.0	576.75781252448	163.62139062932096
bcBIQX	6.350032855094578	27.396652043570388	5.773659580505541	0.0	0.5373568389381878	336.6200447614724	271.0065224243031	20.69186271984045
