"Total","LogProb","PValue","Limited","FDR","empty","barcode"
11598,-16164.1271144476,9.99900009999e-05,TRUE,0,0,"bcIKCK"
10596,-14894.383881024,9.99900009999e-05,TRUE,0,0,"bcICSE"
11690,-18758.7398698036,9.99900009999e-05,TRUE,0,0,"bcIDWG"
11568,-17389.6883115768,9.99900009999e-05,TRUE,0,0,"bcFHXF"
11354,-14777.7333477873,9.99900009999e-05,TRUE,0,0,"bcEXUT"
10618,-14719.7944947581,9.99900009999e-05,TRUE,0,0,"bcHWVU"
10961,-16262.8332179048,9.99900009999e-05,TRUE,0,0,"bcHDAB"
9827,-13412.1116974976,9.99900009999e-05,TRUE,0,0,"bcCWKX"
11582,-18908.871031299,9.99900009999e-05,TRUE,0,0,"bcCGUT"
10380,-14389.0321270837,9.99900009999e-05,TRUE,0,0,"bcDQMZ"
9438,-10674.6061929439,9.99900009999e-05,TRUE,0,0,"bcACLI"
10496,-15354.9725960007,9.99900009999e-05,TRUE,0,0,"bcGGKX"
11210,-17844.3638138398,9.99900009999e-05,TRUE,0,0,"bcEGSX"
10748,-16436.9843112861,9.99900009999e-05,TRUE,0,0,"bcCZDT"
11106,-15740.0672919804,9.99900009999e-05,TRUE,0,0,"bcEFJW"
11297,-18546.0164670151,9.99900009999e-05,TRUE,0,0,"bcGVEV"
10912,-15349.9298078961,9.99900009999e-05,TRUE,0,0,"bcHGGA"
10413,-14342.6867137366,9.99900009999e-05,TRUE,0,0,"bcIEYV"
10745,-14521.6691927856,9.99900009999e-05,TRUE,0,0,"bcCAMS"
10121,-16606.1459436264,9.99900009999e-05,TRUE,0,0,"bcFTJB"
10018,-16671.1370041193,9.99900009999e-05,TRUE,0,0,"bcBHSC"
10552,-17959.0044246704,9.99900009999e-05,TRUE,0,0,"bcGDER"
10865,-18530.3534505041,9.99900009999e-05,TRUE,0,0,"bcCPDS"
9737,-15672.6238560312,9.99900009999e-05,TRUE,0,0,"bcCMYW"
10750,-16469.7671845418,9.99900009999e-05,TRUE,0,0,"bcCDVY"
10920,-15285.5691392113,9.99900009999e-05,TRUE,0,0,"bcHJZY"
10810,-17893.2443201054,9.99900009999e-05,TRUE,0,0,"bcBYXN"
9934,-16234.416009932,9.99900009999e-05,TRUE,0,0,"bcGRTH"
10501,-15846.4410221748,9.99900009999e-05,TRUE,0,0,"bcHSHW"
10710,-16580.798634802,9.99900009999e-05,TRUE,0,0,"bcDZNP"
10908,-13947.1299117367,9.99900009999e-05,TRUE,0,0,"bcDGDL"
11016,-17198.2197844214,9.99900009999e-05,TRUE,0,0,"bcFHGS"
10219,-15882.5079194169,9.99900009999e-05,TRUE,0,0,"bcBCPA"
9885,-14750.8175054607,9.99900009999e-05,TRUE,0,0,"bcHYZM"
9446,-12160.5052469688,9.99900009999e-05,TRUE,0,0,"bcFLRT"
10669,-15373.4899457094,9.99900009999e-05,TRUE,0,0,"bcBNPI"
10242,-14477.2352533836,9.99900009999e-05,TRUE,0,0,"bcHGQG"
10830,-15297.6659234909,9.99900009999e-05,TRUE,0,0,"bcBQRR"
10067,-12268.7476079547,9.99900009999e-05,TRUE,0,0,"bcFPLQ"
10018,-15411.6076540621,9.99900009999e-05,TRUE,0,0,"bcBBRT"
10722,-17460.7386733818,9.99900009999e-05,TRUE,0,0,"bcBAGM"
9898,-14437.3018146982,9.99900009999e-05,TRUE,0,0,"bcEGOS"
10052,-16795.2170456828,9.99900009999e-05,TRUE,0,0,"bcHJIV"
10472,-16538.1203845602,9.99900009999e-05,TRUE,0,0,"bcAGWI"
10573,-12449.6038652321,9.99900009999e-05,TRUE,0,0,"bcDUIV"
10430,-14951.3844427732,9.99900009999e-05,TRUE,0,0,"bcFKES"
10091,-12756.9898809811,9.99900009999e-05,TRUE,0,0,"bcCGAY"
10625,-15180.5760413286,9.99900009999e-05,TRUE,0,0,"bcDDYG"
10318,-13129.8354974179,9.99900009999e-05,TRUE,0,0,"bcDLMJ"
10147,-15337.20878739,9.99900009999e-05,TRUE,0,0,"bcHEJD"
10441,-14699.1234058302,9.99900009999e-05,TRUE,0,0,"bcBETA"
10592,-15333.19081202,9.99900009999e-05,TRUE,0,0,"bcEZPX"
9501,-14668.9873245569,9.99900009999e-05,TRUE,0,0,"bcHYUS"
10756,-16630.2580916806,9.99900009999e-05,TRUE,0,0,"bcGGCR"
10425,-17244.7763190512,9.99900009999e-05,TRUE,0,0,"bcHLOE"
9364,-8864.64383965703,9.99900009999e-05,TRUE,0,0,"bcGMNM"
10286,-13115.6842897437,9.99900009999e-05,TRUE,0,0,"bcAMSW"
9638,-10224.0246625934,9.99900009999e-05,TRUE,0,0,"bcALAI"
9277,-14331.0633269294,9.99900009999e-05,TRUE,0,0,"bcFTSI"
9618,-13392.3614527485,9.99900009999e-05,TRUE,0,0,"bcHVHG"
10233,-16090.797729592,9.99900009999e-05,TRUE,0,0,"bcEFFD"
9680,-11942.5182780441,9.99900009999e-05,TRUE,0,0,"bcCLBZ"
9594,-13239.5608603663,9.99900009999e-05,TRUE,0,0,"bcFIZO"
10497,-14215.3324781632,9.99900009999e-05,TRUE,0,0,"bcAINB"
10217,-13942.3576564765,9.99900009999e-05,TRUE,0,0,"bcEUQI"
9207,-11096.5752847996,9.99900009999e-05,TRUE,0,0,"bcFAFA"
10101,-14554.72124838,9.99900009999e-05,TRUE,0,0,"bcCBKR"
9713,-15962.1239871331,9.99900009999e-05,TRUE,0,0,"bcHESS"
10500,-16174.2948385523,9.99900009999e-05,TRUE,0,0,"bcEVVY"
9757,-18434.3735656693,9.99900009999e-05,TRUE,0,0,"bcGTMM"
10461,-14300.2736484636,9.99900009999e-05,TRUE,0,0,"bcCAMG"
10092,-17449.7471374965,9.99900009999e-05,TRUE,0,0,"bcAVDB"
10370,-15302.509358383,9.99900009999e-05,TRUE,0,0,"bcDMOF"
9649,-16991.5904035548,9.99900009999e-05,TRUE,0,0,"bcDXHS"
9302,-11555.040812183,9.99900009999e-05,TRUE,0,0,"bcGZYX"
10562,-16034.5049785353,9.99900009999e-05,TRUE,0,0,"bcBYNT"
